employee_number;environment_satisfaction;job_involvement;job_satisfaction;relationship_satisfaction;work_life_balance
731;2;4;3;2;2
724;2;4;3;2;3
661;2;4;3;2;3
613;2;4;3;2;3
551;2;4;3;4;4
453;2;4;3;2;3
448;2;4;3;4;2
446;2;4;3;2;3
420;2;4;3;2;3
417;2;4;3;2;1
416;2;4;3;2;2
379;2;4;3;4;1
338;2;4;3;2;3
316;2;4;3;2;2
287;2;4;3;1;4
262;2;4;3;4;4
256;2;4;3;2;3
249;2;4;3;2;4
224;2;4;3;2;4
223;2;4;3;1;2
215;2;4;3;2;1
195;2;4;3;4;4
182;2;4;3;4;3
139;2;4;3;4;4
112;2;4;3;2;1
104;2;4;3;2;3
80;2;4;3;2;4
72;2;4;3;2;3
46;2;4;3;2;4
22;2;4;3;2;2
2065;2;4;2;2;4
2054;2;4;1;1;2
1908;2;4;2;1;3
1870;2;4;1;2;4
1814;2;4;2;1;1
1803;2;4;1;2;3
1760;2;4;2;2;2
1622;2;4;1;2;2
1609;2;4;2;2;2
1602;2;4;1;1;2
1529;2;4;2;1;4
1514;2;4;2;2;2
1472;2;4;2;2;2
1447;2;4;2;2;1
1436;2;4;1;2;1
1419;2;4;1;2;1
1367;2;4;2;2;2
1289;2;4;2;4;4
1288;2;4;1;2;4
1258;2;4;2;2;3
1239;2;4;2;4;2
1231;2;4;1;4;1
1182;2;4;2;4;2
1131;2;4;2;4;3
1074;2;4;1;4;2
1019;2;4;1;2;1
1015;2;4;1;2;3
885;2;4;1;4;1
856;2;4;1;2;4
776;2;4;1;4;1
764;2;4;1;1;1
760;2;4;2;1;3
717;2;4;2;4;2
664;2;4;1;1;1
657;2;4;2;4;4
573;2;4;1;4;4
532;2;4;1;2;4
381;2;4;2;2;2
363;2;4;2;2;2
359;2;4;2;1;3
340;2;4;1;2;1
296;2;4;2;1;4
284;2;4;2;2;1
267;2;4;1;2;1
214;2;4;2;2;2
199;2;4;1;2;2
164;2;4;2;2;3
124;2;4;1;2;3
121;2;4;2;2;2
119;2;4;2;2;4
51;2;4;1;4;4
10;2;4;1;2;1
2024;1;4;3;3;3
1997;1;4;3;3;4
1929;1;4;3;3;3
1916;1;4;3;2;2
1898;1;4;3;2;2
1866;1;4;3;3;4
1784;1;4;3;3;1
1775;1;4;3;2;4
1704;1;4;3;4;3
1628;1;4;3;3;4
1506;1;4;3;1;4
1435;1;4;3;2;3
1407;1;4;3;3;4
1402;1;4;3;1;1
1399;1;4;3;2;2
1390;1;4;3;4;4
1374;1;4;3;3;3
1311;1;4;3;3;1
1256;1;4;3;4;3
1246;1;4;3;3;4
1198;1;4;3;2;1
1177;1;4;3;3;2
1116;1;4;3;2;3
1094;1;4;3;3;4
1068;1;4;3;3;3
1022;1;4;3;3;4
985;1;4;3;3;4
912;1;4;3;3;3
888;1;4;3;2;4
874;1;4;3;2;3
862;1;4;3;3;4
832;1;4;3;3;4
792;1;4;3;3;1
784;1;4;3;3;4
744;1;4;3;3;3
700;1;4;3;3;4
665;1;4;3;4;2
655;1;4;3;2;3
653;1;4;3;4;4
652;1;4;3;3;4
616;1;4;3;3;1
612;1;4;3;3;3
568;1;4;3;2;3
481;1;4;3;3;1
477;1;4;3;3;2
439;1;4;3;2;3
341;1;4;3;3;4
329;1;4;3;4;4
264;1;4;3;3;4
230;1;4;3;4;3
183;1;4;3;3;4
159;1;4;3;2;3
91;1;4;3;2;4
77;1;4;3;4;3
36;1;4;3;3;4
26;1;4;3;2;4
23;1;4;3;3;3
2034;1;4;2;3;3
1961;1;4;1;2;1
1949;1;4;2;3;2
1863;1;4;1;3;4
1694;1;4;2;3;4
1669;1;4;2;2;2
1612;1;4;1;3;1
1594;1;4;1;3;4
1502;1;4;2;3;4
1362;1;4;1;2;4
1136;1;4;2;1;1
1083;1;4;1;3;1
954;1;4;2;2;2
878;1;4;1;3;3
855;1;4;1;3;1
854;1;4;1;2;3
837;1;4;1;2;3
803;1;4;1;3;4
789;1;4;1;3;2
742;1;4;1;3;1
705;1;4;1;4;1
520;1;4;2;3;3
424;1;4;1;3;4
421;1;4;2;3;3
382;1;4;1;3;3
366;1;4;2;3;2
145;1;4;1;2;3
21;1;4;2;2;4
14;1;4;2;3;3
2041;1;3;3;3;3
2012;1;3;3;2;3
1996;1;3;3;3;3
1969;1;3;3;2;3
1849;1;3;3;3;3
1813;1;3;3;2;3
1749;1;3;3;3;3
1659;1;3;2;3;3
1646;1;3;3;3;3
1642;1;3;3;3;3
1587;1;3;3;3;3
1577;1;3;3;1;3
1481;1;3;3;2;3
1480;1;3;3;3;3
1438;1;3;3;2;3
1430;1;3;2;4;3
1242;1;3;1;3;3
1195;1;3;3;2;3
1103;1;3;3;2;3
944;1;3;2;2;3
920;1;3;2;4;3
897;1;3;3;3;3
851;1;3;3;2;3
644;1;3;2;3;3
575;1;3;3;1;3
574;1;3;3;3;3
522;1;3;1;2;3
484;1;3;3;2;3
390;1;3;1;3;3
311;1;3;3;3;3
307;1;3;3;2;3
194;1;3;3;2;3
162;1;3;3;3;3
138;1;3;3;3;3
110;1;3;2;3;3
73;1;3;3;3;3
62;1;3;3;3;3
28;1;3;2;3;3
1993;1;3;3;3;2
1971;1;3;3;3;2
1837;1;3;3;3;2
1816;1;3;3;3;2
1655;1;3;2;3;2
1533;1;3;3;3;2
1259;1;3;3;3;2
1238;1;3;3;3;2
1071;1;3;3;3;2
1030;1;3;3;3;2
1027;1;3;3;3;2
916;1;3;3;3;2
547;1;3;3;3;2
468;1;3;3;3;2
78;1;3;3;3;2
2019;1;3;3;2;2
2018;1;3;3;2;2
1682;1;3;3;2;2
1473;1;3;3;2;2
1443;1;3;3;4;2
1415;1;3;3;2;2
999;1;3;3;4;2
805;1;3;3;2;2
560;1;3;3;1;2
473;1;3;3;1;2
1936;1;3;1;3;4
1833;1;3;1;3;4
1805;1;3;2;3;4
1786;1;3;3;3;4
1746;1;3;3;3;4
1633;1;3;3;1;4
1590;1;3;3;4;4
1560;1;3;1;1;4
1548;1;3;1;4;4
1441;1;3;1;4;4
1425;1;3;2;3;4
1308;1;3;3;3;4
1244;1;3;1;2;4
1124;1;3;3;3;4
1102;1;3;3;2;4
1092;1;3;3;3;4
990;1;3;3;3;4
905;1;3;1;3;4
904;1;3;2;3;4
772;1;3;3;3;4
732;1;3;1;3;4
679;1;3;3;2;4
675;1;3;3;3;4
641;1;3;2;4;4
626;1;3;2;3;4
624;1;3;3;2;4
620;1;3;3;3;4
597;1;3;2;3;4
549;1;3;1;1;4
544;1;3;3;2;4
511;1;3;2;3;4
352;1;3;3;3;4
350;1;3;3;3;4
106;1;3;3;3;4
81;1;3;1;2;4
16;1;3;3;2;4
7;1;3;2;3;4
2031;1;3;3;2;1
2014;1;3;3;3;1
1954;1;3;1;2;1
1950;1;3;3;2;1
1892;1;3;1;3;1
1720;1;3;3;2;1
1673;1;3;3;3;1
1581;1;3;3;3;1
1553;1;3;2;3;1
1543;1;3;3;3;1
1453;1;3;3;3;1
1411;1;3;3;3;1
1322;1;3;3;3;1
1249;1;3;3;3;1
1133;1;3;3;3;1
618;1;3;3;3;1
425;1;3;1;3;1
385;1;3;2;2;1
380;1;3;3;3;1
335;1;3;3;3;1
227;1;3;3;3;1
155;1;3;3;3;1
141;1;3;2;2;1
128;1;3;3;2;1
126;1;3;3;1;1
102;1;3;3;4;1
2025;2;3;2;3;2
1995;2;3;2;3;1
1987;2;3;2;3;3
1986;2;3;2;3;3
1972;2;3;2;3;2
1909;2;3;2;3;3
1875;2;3;2;3;4
1847;2;3;2;3;4
1764;2;3;2;3;2
1727;2;3;2;3;4
1658;2;3;2;3;3
1654;2;3;2;3;3
1582;2;3;2;3;4
1568;2;3;2;3;2
1525;2;3;2;3;4
1513;2;3;2;3;3
1495;2;3;2;3;3
1484;2;3;2;3;2
1391;2;3;2;3;2
1373;2;3;2;3;1
1361;2;3;2;3;3
1352;2;3;2;3;2
1338;2;3;2;3;1
1306;2;3;2;3;3
1294;2;3;2;3;4
1267;2;3;2;3;3
1241;2;3;2;3;1
1217;2;3;2;3;1
1212;2;3;2;3;4
1173;2;3;2;3;4
1125;2;3;2;3;3
1118;2;3;2;3;4
1114;2;3;2;3;3
1096;2;3;2;3;2
1056;2;3;2;3;2
1049;2;3;2;3;1
1034;2;3;2;3;4
1001;2;3;2;3;2
964;2;3;2;3;4
934;2;3;2;3;2
889;2;3;2;3;4
846;2;3;2;3;1
829;2;3;2;3;2
823;2;3;2;3;1
766;2;3;2;3;4
738;2;3;2;3;4
585;2;3;2;3;1
516;2;3;2;3;3
508;2;3;2;3;1
497;2;3;2;3;2
471;2;3;2;3;3
464;2;3;2;3;4
458;2;3;2;3;1
449;2;3;2;3;4
428;2;3;2;3;2
419;2;3;2;3;3
410;2;3;2;3;2
397;2;3;2;3;4
330;2;3;2;3;1
269;2;3;2;3;4
258;2;3;2;3;3
252;2;3;2;3;4
247;2;3;2;3;4
226;2;3;2;3;2
204;2;3;2;3;1
202;2;3;2;3;1
201;2;3;2;3;4
178;2;3;2;3;4
103;2;3;2;3;4
96;2;3;2;3;2
95;2;3;2;3;2
94;2;3;2;3;4
61;2;3;2;3;1
35;2;3;2;3;4
2057;2;3;1;3;2
2038;2;3;1;3;4
2021;2;3;1;3;4
1980;2;3;1;3;4
1975;2;3;1;3;1
1885;2;3;1;3;3
1883;2;3;1;3;2
1834;2;3;1;3;3
1829;2;3;1;3;2
1790;2;3;1;3;4
1772;2;3;1;3;2
1724;2;3;1;3;2
1680;2;3;1;3;1
1651;2;3;1;3;3
1618;2;3;1;3;4
1613;2;3;1;3;4
1598;2;3;1;3;3
1586;2;3;1;3;4
1507;2;3;1;3;4
1477;2;3;1;3;1
1469;2;3;1;3;4
1466;2;3;1;3;1
1431;2;3;1;3;3
1428;2;3;1;3;2
1423;2;3;1;3;3
1408;2;3;1;3;3
1355;2;3;1;3;4
1349;2;3;1;3;4
1321;2;3;1;3;4
1317;2;3;1;3;2
1281;2;3;1;3;4
1218;2;3;1;3;4
1215;2;3;1;3;3
1211;2;3;1;3;3
1204;2;3;1;3;1
1193;2;3;1;3;3
1191;2;3;1;3;4
1190;2;3;1;3;3
1126;2;3;1;3;3
1109;2;3;1;3;4
1043;2;3;1;3;3
1011;2;3;1;3;3
1002;2;3;1;3;3
957;2;3;1;3;3
950;2;3;1;3;2
913;2;3;1;3;4
887;2;3;1;3;2
879;2;3;1;3;4
864;2;3;1;3;3
843;2;3;1;3;3
808;2;3;1;3;2
799;2;3;1;3;2
775;2;3;1;3;3
728;2;3;1;3;4
725;2;3;1;3;4
630;2;3;1;3;2
625;2;3;1;3;2
567;2;3;1;3;3
536;2;3;1;3;4
517;2;3;1;3;2
486;2;3;1;3;2
429;2;3;1;3;4
396;2;3;1;3;4
374;2;3;1;3;3
303;2;3;1;3;4
288;2;3;1;3;3
244;2;3;1;3;3
241;2;3;1;3;3
239;2;3;1;3;3
200;2;3;1;3;4
197;2;3;1;3;4
134;2;3;1;3;4
113;2;3;1;3;3
86;2;3;1;3;3
75;2;3;1;3;3
54;2;3;1;3;4
1998;2;3;1;2;3
1989;2;3;2;2;3
1952;2;3;1;2;4
1931;2;3;2;2;3
1824;2;3;2;2;4
1802;2;3;1;2;4
1794;2;3;2;2;3
1771;2;3;2;2;4
1768;2;3;2;2;2
1756;2;3;2;2;4
1740;2;3;2;2;2
1674;2;3;1;2;2
1671;2;3;2;2;3
1617;2;3;1;2;4
1576;2;3;1;2;4
1574;2;3;1;2;2
1485;2;3;1;2;4
1475;2;3;2;2;3
1396;2;3;2;2;1
1303;2;3;2;2;4
1301;2;3;1;2;2
1282;2;3;2;2;1
1257;2;3;2;2;3
1251;2;3;1;2;4
1143;2;3;2;2;4
1132;2;3;2;2;3
1121;2;3;2;2;2
1084;2;3;1;2;3
1066;2;3;1;2;2
1062;2;3;2;2;1
972;2;3;2;2;2
852;2;3;2;2;4
836;2;3;2;2;4
802;2;3;1;2;2
733;2;3;1;2;3
662;2;3;1;2;4
635;2;3;2;2;2
605;2;3;1;2;4
518;2;3;2;2;4
515;2;3;1;2;3
451;2;3;1;2;1
434;2;3;2;2;2
406;2;3;2;2;3
399;2;3;2;2;3
334;2;3;1;2;1
260;2;3;2;2;4
238;2;3;2;2;3
233;2;3;2;2;4
170;2;3;1;2;3
88;2;3;1;2;4
74;2;3;1;2;4
68;2;3;1;2;3
38;2;3;1;2;4
2000;2;3;2;1;1
1948;2;3;1;4;4
1945;2;3;1;1;4
1934;2;3;2;4;3
1911;2;3;1;4;2
1735;2;3;2;1;3
1731;2;3;2;1;4
1725;2;3;1;4;2
1640;2;3;2;1;1
1583;2;3;2;4;2
1527;2;3;2;4;4
1523;2;3;1;4;3
1434;2;3;1;4;2
1409;2;3;1;1;3
1356;2;3;1;4;4
1314;2;3;1;4;3
1285;2;3;2;4;3
1171;2;3;1;4;4
966;2;3;1;4;3
910;2;3;2;4;3
771;2;3;1;4;1
758;2;3;1;4;4
698;2;3;2;4;3
682;2;3;1;4;4
606;2;3;2;4;2
581;2;3;2;4;4
524;2;3;1;1;2
404;2;3;2;4;4
384;2;3;2;1;1
304;2;3;2;4;4
240;2;3;1;4;1
218;2;3;2;1;4
206;2;3;2;1;3
160;2;3;2;4;1
132;2;3;2;4;3
101;2;3;1;4;2
2049;2;3;3;4;4
2007;2;3;3;4;4
1985;2;3;3;4;1
1982;2;3;3;4;3
1979;2;3;3;4;3
1940;2;3;3;4;4
1853;2;3;3;4;3
1852;2;3;3;4;2
1845;2;3;3;4;2
1839;2;3;3;1;3
1815;2;3;3;4;4
1799;2;3;3;4;3
1757;2;3;3;4;3
1721;2;3;3;4;4
1668;2;3;3;4;4
1547;2;3;3;1;3
1516;2;3;3;4;2
1499;2;3;3;4;1
1474;2;3;3;4;3
1465;2;3;3;4;4
1449;2;3;3;4;3
1395;2;3;3;4;1
1383;2;3;3;4;4
1368;2;3;3;4;3
1245;2;3;3;1;1
1164;2;3;3;1;2
1097;2;3;3;4;4
1048;2;3;3;1;3
1045;2;3;3;4;2
1029;2;3;3;4;2
982;2;3;3;4;1
981;2;3;3;4;3
961;2;3;3;1;3
942;2;3;3;1;4
847;2;3;3;1;3
845;2;3;3;4;2
817;2;3;3;4;4
773;2;3;3;1;2
743;2;3;3;4;4
692;2;3;3;1;3
671;2;3;3;4;1
623;2;3;3;4;4
611;2;3;3;4;2
604;2;3;3;4;3
562;2;3;3;1;3
546;2;3;3;1;4
507;2;3;3;4;4
487;2;3;3;4;3
475;2;3;3;4;2
426;2;3;3;1;2
378;2;3;3;4;2
314;2;3;3;4;1
281;2;3;3;4;3
277;2;3;3;4;4
273;2;3;3;1;1
242;2;3;3;4;1
221;2;3;3;1;3
205;2;3;3;1;4
184;2;3;3;1;4
158;2;3;3;4;4
129;2;3;3;4;2
120;2;3;3;1;4
40;2;3;3;4;4
2026;2;3;3;2;1
2022;2;3;3;2;3
1992;2;3;3;2;3
1951;2;3;3;2;3
1947;2;3;3;2;3
1938;2;3;3;2;3
1924;2;3;3;2;2
1857;2;3;3;2;3
1854;2;3;3;2;2
1850;2;3;3;2;3
1830;2;3;3;2;2
1751;2;3;3;2;3
1736;2;3;3;2;4
1732;2;3;3;2;2
1729;2;3;3;2;2
1710;2;3;3;2;3
1687;2;3;3;2;4
1648;2;3;3;2;3
1641;2;3;3;2;4
1631;2;3;3;2;1
1608;2;3;3;2;4
1580;2;3;3;2;2
1556;2;3;3;2;4
1503;2;3;3;2;3
1496;2;3;3;2;2
1482;2;3;3;2;2
1479;2;3;3;2;3
1446;2;3;3;2;3
1422;2;3;3;2;4
1392;2;3;3;2;1
1358;2;3;3;2;3
1344;2;3;3;2;4
1334;2;3;3;2;4
1324;2;3;3;2;1
1286;2;3;3;2;3
1283;2;3;3;2;4
1275;2;3;3;2;2
1228;2;3;3;2;3
1224;2;3;3;2;1
1220;2;3;3;2;1
1166;2;3;3;2;3
1163;2;3;3;2;1
1140;2;3;3;2;4
1061;2;3;3;2;4
1028;2;3;3;2;1
1014;2;3;3;2;3
1006;2;3;3;2;2
997;2;3;3;2;3
976;2;3;3;2;2
947;2;3;3;2;4
945;2;3;3;2;1
924;2;3;3;2;1
902;2;3;3;2;2
859;2;3;3;2;3
857;2;3;3;2;4
850;2;3;3;2;3
820;2;3;3;2;3
809;2;3;3;2;2
793;2;3;3;2;1
781;2;3;3;2;2
762;2;3;3;2;3
747;2;3;3;2;4
746;2;3;3;2;4
722;2;3;3;2;4
690;2;3;3;2;1
683;2;3;3;2;4
656;2;3;3;2;3
592;2;3;3;2;4
571;2;3;3;2;3
550;2;3;3;2;3
500;2;3;3;2;3
469;2;3;3;2;1
465;2;3;3;2;3
462;2;3;3;2;3
460;2;3;3;2;3
450;2;3;3;2;4
403;2;3;3;2;3
388;2;3;3;2;1
386;2;3;3;2;4
377;2;3;3;2;4
353;2;3;3;2;2
323;2;3;3;2;3
321;2;3;3;2;4
192;2;3;3;2;2
131;2;3;3;2;3
76;2;3;3;2;4
32;2;3;3;2;4
13;2;3;3;2;2
8;2;3;3;2;3
2051;2;3;3;3;2
2009;2;3;3;3;1
2008;2;3;3;3;2
1999;2;3;3;3;1
1965;2;3;3;3;1
1962;2;3;3;3;4
1955;2;3;3;3;2
1941;2;3;3;3;4
1912;2;3;3;3;4
1900;2;3;3;3;2
1882;2;3;3;3;4
1881;2;3;3;3;1
1871;2;3;3;3;2
1860;2;3;3;3;4
1858;2;3;3;3;2
1836;2;3;3;3;1
1822;2;3;3;3;4
1812;2;3;3;3;4
1778;2;3;3;3;2
1737;2;3;3;3;4
1728;2;3;3;3;2
1708;2;3;3;3;2
1706;2;3;3;3;1
1683;2;3;3;3;1
1678;2;3;3;3;4
1677;2;3;3;3;1
1657;2;3;3;3;1
1630;2;3;3;3;4
1614;2;3;3;3;2
1585;2;3;3;3;1
1550;2;3;3;3;4
1549;2;3;3;3;2
1546;2;3;3;3;4
1541;2;3;3;3;2
1520;2;3;3;3;1
1515;2;3;3;3;1
1501;2;3;3;3;2
1492;2;3;3;3;1
1397;2;3;3;3;2
1394;2;3;3;3;4
1377;2;3;3;3;1
1350;2;3;3;3;2
1340;2;3;3;3;2
1312;2;3;3;3;1
1291;2;3;3;3;4
1270;2;3;3;3;4
1260;2;3;3;3;2
1250;2;3;3;3;1
1240;2;3;3;3;2
1235;2;3;3;3;4
1225;2;3;3;3;2
1207;2;3;3;3;4
1201;2;3;3;3;2
1192;2;3;3;3;1
1158;2;3;3;3;1
1137;2;3;3;3;4
1120;2;3;3;3;1
1069;2;3;3;3;4
1060;2;3;3;3;1
1055;2;3;3;3;4
1046;2;3;3;3;2
1040;2;3;3;3;1
1025;2;3;3;3;2
1012;2;3;3;3;4
1007;2;3;3;3;2
1005;2;3;3;3;4
996;2;3;3;3;4
995;2;3;3;3;1
992;2;3;3;3;4
984;2;3;3;3;2
983;2;3;3;3;2
975;2;3;3;3;2
974;2;3;3;3;2
930;2;3;3;3;2
903;2;3;3;3;1
900;2;3;3;3;2
895;2;3;3;3;2
882;2;3;3;3;2
875;2;3;3;3;4
815;2;3;3;3;4
813;2;3;3;3;2
800;2;3;3;3;2
791;2;3;3;3;1
769;2;3;3;3;4
757;2;3;3;3;4
727;2;3;3;3;4
677;2;3;3;3;4
666;2;3;3;3;4
663;2;3;3;3;2
659;2;3;3;3;2
602;2;3;3;3;1
599;2;3;3;3;4
595;2;3;3;3;1
591;2;3;3;3;4
558;2;3;3;3;4
533;2;3;3;3;2
529;2;3;3;3;1
526;2;3;3;3;4
525;2;3;3;3;1
523;2;3;3;3;1
501;2;3;3;3;2
498;2;3;3;3;4
495;2;3;3;3;4
479;2;3;3;3;2
476;2;3;3;3;2
467;2;3;3;3;1
452;2;3;3;3;1
447;2;3;3;3;2
441;2;3;3;3;4
438;2;3;3;3;4
437;2;3;3;3;1
430;2;3;3;3;1
395;2;3;3;3;4
393;2;3;3;3;2
391;2;3;3;3;2
389;2;3;3;3;4
372;2;3;3;3;2
349;2;3;3;3;4
346;2;3;3;3;1
343;2;3;3;3;4
337;2;3;3;3;1
333;2;3;3;3;1
319;2;3;3;3;4
312;2;3;3;3;4
293;2;3;3;3;4
286;2;3;3;3;1
275;2;3;3;3;1
271;2;3;3;3;2
270;2;3;3;3;2
253;2;3;3;3;2
231;2;3;3;3;1
217;2;3;3;3;1
216;2;3;3;3;4
208;2;3;3;3;1
207;2;3;3;3;4
193;2;3;3;3;2
177;2;3;3;3;4
174;2;3;3;3;4
152;2;3;3;3;1
125;2;3;3;3;1
116;2;3;3;3;2
98;2;3;3;3;4
83;2;3;3;3;2
79;2;3;3;3;4
57;2;3;3;3;4
56;2;3;3;3;4
49;2;3;3;3;1
39;2;3;3;3;4
30;2;3;3;3;4
11;2;3;3;3;2
2046;2;3;3;3;3
2040;2;3;3;3;3
2020;2;3;3;3;3
2016;2;3;3;3;3
2003;2;3;3;3;3
1970;2;3;3;3;3
1943;2;3;3;3;3
1922;2;3;3;3;3
1856;2;3;3;3;3
1804;2;3;3;3;3
1800;2;3;3;3;3
1789;2;3;3;3;3
1774;2;3;3;3;3
1709;2;3;3;3;3
1693;2;3;3;3;3
1681;2;3;3;3;3
1670;2;3;3;3;3
1665;2;3;3;3;3
1625;2;3;3;3;3
1623;2;3;3;3;3
1606;2;3;3;3;3
1591;2;3;3;3;3
1563;2;3;3;3;3
1557;2;3;3;3;3
1552;2;3;3;3;3
1445;2;3;3;3;3
1412;2;3;3;3;3
1363;2;3;3;3;3
1346;2;3;3;3;3
1298;2;3;3;3;3
1036;2;3;3;3;3
1013;2;3;3;3;3
1003;2;3;3;3;3
958;2;3;3;3;3
949;2;3;3;3;3
933;2;3;3;3;3
901;2;3;3;3;3
786;2;3;3;3;3
749;2;3;3;3;3
689;2;3;3;3;3
686;2;3;3;3;3
680;2;3;3;3;3
669;2;3;3;3;3
645;2;3;3;3;3
634;2;3;3;3;3
632;2;3;3;3;3
601;2;3;3;3;3
600;2;3;3;3;3
586;2;3;3;3;3
578;2;3;3;3;3
556;2;3;3;3;3
531;2;3;3;3;3
505;2;3;3;3;3
482;2;3;3;3;3
470;2;3;3;3;3
423;2;3;3;3;3
387;2;3;3;3;3
373;2;3;3;3;3
332;2;3;3;3;3
327;2;3;3;3;3
306;2;3;3;3;3
298;2;3;3;3;3
246;2;3;3;3;3
245;2;3;3;3;3
228;2;3;3;3;3
176;2;3;3;3;3
169;2;3;3;3;3
154;2;3;3;3;3
150;2;3;3;3;3
144;2;3;3;3;3
84;2;3;3;3;3
60;2;3;3;3;3
53;2;3;3;3;3
24;2;3;3;3;3
18;2;3;3;3;3
5;2;3;3;3;3
2061;2;4;3;3;3
2060;2;4;3;3;4
2052;2;4;3;3;4
2048;2;4;3;3;4
2035;2;4;3;3;4
2017;2;4;3;3;1
2015;2;4;3;3;1
1976;2;4;3;3;4
1974;2;4;3;3;3
1966;2;4;3;3;2
1932;2;4;3;3;2
1927;2;4;3;3;3
1918;2;4;3;3;1
1880;2;4;3;3;1
1864;2;4;3;3;4
1859;2;4;3;3;4
1823;2;4;3;3;3
1782;2;4;3;3;2
1779;2;4;3;3;1
1766;2;4;3;3;3
1763;2;4;3;3;3
1755;2;4;3;3;1
1707;2;4;3;3;4
1703;2;4;3;3;2
1701;2;4;3;3;2
1689;2;4;3;3;3
1666;2;4;3;3;1
1662;2;4;3;3;3
1661;2;4;3;3;2
1653;2;4;3;3;3
1650;2;4;3;3;3
1647;2;4;3;3;1
1644;2;4;3;3;2
1635;2;4;3;3;1
1627;2;4;3;3;4
1615;2;4;3;3;1
1607;2;4;3;3;4
1595;2;4;3;3;4
1592;2;4;3;3;4
1588;2;4;3;3;1
1578;2;4;3;3;3
1554;2;4;3;3;1
1539;2;4;3;3;4
1535;2;4;3;3;4
1497;2;4;3;3;3
1471;2;4;3;3;4
1403;2;4;3;3;4
1382;2;4;3;3;4
1375;2;4;3;3;2
1371;2;4;3;3;2
1369;2;4;3;3;2
1364;2;4;3;3;2
1336;2;4;3;3;4
1315;2;4;3;3;1
1296;2;4;3;3;2
1269;2;4;3;3;4
1268;2;4;3;3;4
1255;2;4;3;3;2
1254;2;4;3;3;4
1233;2;4;3;3;2
1226;2;4;3;3;4
1221;2;4;3;3;3
1206;2;4;3;3;4
1179;2;4;3;3;1
1172;2;4;3;3;2
1162;2;4;3;3;3
1161;2;4;3;3;3
1154;2;4;3;3;4
1148;2;4;3;3;1
1135;2;4;3;3;1
1119;2;4;3;3;2
1117;2;4;3;3;4
1115;2;4;3;3;4
1105;2;4;3;3;3
1099;2;4;3;3;3
1085;2;4;3;3;3
1076;2;4;3;3;3
1070;2;4;3;3;2
1039;2;4;3;3;3
1035;2;4;3;3;2
1032;2;4;3;3;1
1026;2;4;3;3;3
1024;2;4;3;3;2
1018;2;4;3;3;2
1009;2;4;3;3;2
969;2;4;3;3;1
936;2;4;3;3;1
909;2;4;3;3;3
880;2;4;3;3;2
869;2;4;3;3;4
868;2;4;3;3;4
867;2;4;3;3;3
844;2;4;3;3;2
838;2;4;3;3;3
834;2;4;3;3;4
830;2;4;3;3;3
827;2;4;3;3;4
826;2;4;3;3;3
824;2;4;3;3;3
806;2;4;3;3;3
797;2;4;3;3;3
783;2;4;3;3;1
754;2;4;3;3;3
734;2;4;3;3;2
730;2;4;3;3;3
721;2;4;3;3;1
716;2;4;3;3;3
715;2;4;3;3;1
714;2;4;3;3;2
710;2;4;3;3;4
709;2;4;3;3;1
